Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.501523162094E-18,-9.98976698985072E-19,0.0242878466872111,0,0,0,0.509723408044944,0.000562062131048509,2.80703650453303E-36,-1.70019905570331E-20,0.000562062131048509,-1.99886657001989E-20,0.000837077362549,0,0,0,0,0,0,package://justbot/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://justbot/meshes/base_link.STL,,link_0-1,base_frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,1.0171556094959E-18,-1.09336923950592E-17,0.0549055408748314,0,0,0,0.830265482457438,0.00203681888094444,-1.30713124502344E-21,3.46319733153048E-21,0.00205357404176359,-1.53095519710022E-19,0.000945935093570191,0,0,0,0,0,0,package://justbot/meshes/link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://justbot/meshes/link_1.STL,,link_1-1,frame1,joint1_axis,joint_1,revolute,0,0,0.060625,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
link_2,0.183102814406912,9.35362898246694E-15,0.124079659201039,0,0,0,3.39003888115763,0.00613550007773526,-2.5317738236829E-18,-0.00572330212867927,0.0758546236119664,7.38649342611205E-19,0.0731564879724906,0,0,0,0,0,0,package://justbot/meshes/link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://justbot/meshes/link_2.STL,,link_2-1,frame2,joint2_axis,joint_2,revolute,0,0,0.101875,-1.5707963267949,0,0,link_1,0,0,1,0,0,0,0,,,,,,,,
link_3,0.161388593638685,-9.4091401336982E-15,0.119864473827281,0,0,0,1.81866200086027,0.00322307899255989,2.39517592047964E-18,-0.00394347878837956,0.0351952914651063,1.30904401378256E-18,0.0329915795132328,0,0,0,0,0,0,package://justbot/meshes/link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://justbot/meshes/link_3.STL,,link_3-1,frame3,joint3_axis,joint_3,revolute,0.425000000000003,0,0.1333,3.14159265358979,0,0,link_2,0,0,-1,0,0,0,0,,,,,,,,
link_4,-3.44169137633799E-15,0.0115289114502005,0.0987967449476777,0,0,0,0.564199619415974,0.00154204456756717,-1.2848144879846E-22,3.79774791975331E-20,0.0013498280848747,-0.000224430129948098,0.000476587370665697,0,0,0,0,0,0,package://justbot/meshes/link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://justbot/meshes/link_4.STL,,link_4-1,frame4,joint4_axis,joint_4,revolute,0.3922,0,0.1333,3.14159265358979,0,0,link_3,0,0,1,0,0,0,0,,,,,,,,
link_5,3.5527136788005E-15,4.16333634234434E-16,0.0909930736404903,0,0,0,0.171617251235193,0.000126937476961934,2.58335477231217E-21,-4.233199045199E-21,0.000130913555164134,2.81320832287711E-21,9.66086256175968E-05,0,0,0,0,0,0,package://justbot/meshes/link_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://justbot/meshes/link_5.STL,,link_5-1,frame5,joint5_axis,joint_5,revolute,0,0,0.1333,1.5707963267949,0,3.14159265358979,link_4,0,0,-1,0,0,0,0,,,,,,,,
link_6,-3.33066907387547E-15,9.32587340685131E-15,0.0533108106325026,0,0,0,0.239201755179413,0.000285340334026843,9.58284049491214E-22,-7.36427033576577E-20,0.00028534057911407,-1.07085344422525E-20,9.33267857592035E-05,0,0,0,0,0,0,package://justbot/meshes/link_6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://justbot/meshes/link_6.STL,,link_6-1,frame6,joint6_axis,joint_6,revolute,0,0,0.0997,1.5707963267949,0,3.14159265358979,link_5,0,0,1,0,0,0,0,,,,,,,,
